Training for 100000 steps ...
   400/100000: episode: 1, duration: 32.817s, episode steps: 400, steps per second:  12, episode reward: 1889.812, mean reward:  4.725 [ 0.000, 25.352], mean action: 1.552 [0.000, 3.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  6800/100000: episode: 17, duration: 33.308s, episode steps: 400, steps per second:  12, episode reward: 2523.406, mean reward:  6.309 [ 0.000, 33.202], mean action: 1.528 [0.000, 3.000],  loss: 10.674485, mae: 134.298609, mean_q: 182.075258, mean_eps: 0.940605
  7200/100000: episode: 18, duration: 33.309s, episode steps: 400, steps per second:  12, episode reward: 2641.749, mean reward:  6.604 [ 0.000, 43.126], mean action: 1.525 [0.000, 3.000],  loss: 8.619195, mae: 137.228303, mean_q: 186.054558, mean_eps: 0.937004
  7600/100000: episode: 19, duration: 33.038s, episode steps: 400, steps per second:  12, episode reward: 2465.359, mean reward:  6.163 [ 0.000, 25.050], mean action: 1.560 [0.000, 3.000],  loss: 8.541698, mae: 138.203481, mean_q: 188.630990, mean_eps: 0.933405
  8000/100000: episode: 20, duration: 33.296s, episode steps: 400, steps per second:  12, episode reward: 2940.664, mean reward:  7.352 [ 0.000, 34.556], mean action: 1.462 [0.000, 3.000],  loss: 8.741238, mae: 138.645695, mean_q: 189.250696, mean_eps: 0.929804
  8400/100000: episode: 21, duration: 34.913s, episode steps: 400, steps per second:  11, episode reward: 2675.440, mean reward:  6.689 [ 0.000, 22.748], mean action: 1.290 [0.000, 3.000],  loss: 9.501012, mae: 143.974505, mean_q: 194.606157, mean_eps: 0.926205
  8800/100000: episode: 22, duration: 37.451s, episode steps: 400, steps per second:  11, episode reward: 2492.715, mean reward:  6.232 [ 0.000, 28.243], mean action: 1.510 [0.000, 3.000],  loss: 8.398617, mae: 143.826742, mean_q: 195.889481, mean_eps: 0.922604
  9200/100000: episode: 23, duration: 33.492s, episode steps: 400, steps per second:  12, episode reward: 1887.426, mean reward:  4.719 [ 0.000, 23.245], mean action: 1.542 [0.000, 3.000],  loss: 8.783605, mae: 144.944051, mean_q: 197.044828, mean_eps: 0.919005
  9600/100000: episode: 24, duration: 33.006s, episode steps: 400, steps per second:  12, episode reward: 2025.539, mean reward:  5.064 [ 0.000, 21.369], mean action: 1.562 [0.000, 3.000],  loss: 8.404435, mae: 145.989730, mean_q: 198.725064, mean_eps: 0.915404
 10000/100000: episode: 25, duration: 33.245s, episode steps: 400, steps per second:  12, episode reward: 2608.671, mean reward:  6.522 [ 0.000, 21.678], mean action: 1.488 [0.000, 3.000],  loss: 9.265094, mae: 146.412503, mean_q: 199.572507, mean_eps: 0.911805
 10400/100000: episode: 26, duration: 33.145s, episode steps: 400, steps per second:  12, episode reward: 2130.711, mean reward:  5.327 [ 0.000, 31.786], mean action: 1.548 [0.000, 3.000],  loss: 8.566511, mae: 153.073797, mean_q: 208.484958, mean_eps: 0.908204
 10800/100000: episode: 27, duration: 33.221s, episode steps: 400, steps per second:  12, episode reward: 2013.614, mean reward:  5.034 [ 0.000, 26.562], mean action: 1.423 [0.000, 3.000],  loss: 9.948790, mae: 150.673656, mean_q: 205.041444, mean_eps: 0.904605
 11200/100000: episode: 28, duration: 33.069s, episode steps: 400, steps per second:  12, episode reward: 2112.223, mean reward:  5.281 [ 0.000, 21.161], mean action: 1.510 [0.000, 3.000],  loss: 8.851092, mae: 153.452848, mean_q: 208.891488, mean_eps: 0.901004
 11600/100000: episode: 29, duration: 33.502s, episode steps: 400, steps per second:  12, episode reward: 2237.849, mean reward:  5.595 [ 0.000, 21.174], mean action: 1.542 [0.000, 3.000],  loss: 10.332448, mae: 155.856230, mean_q: 212.315961, mean_eps: 0.897404
 12000/100000: episode: 30, duration: 33.160s, episode steps: 400, steps per second:  12, episode reward: 2201.377, mean reward:  5.503 [ 0.000, 19.583], mean action: 1.600 [0.000, 3.000],  loss: 8.046055, mae: 155.952510, mean_q: 212.304842, mean_eps: 0.893805
 12400/100000: episode: 31, duration: 33.254s, episode steps: 400, steps per second:  12, episode reward: 2539.726, mean reward:  6.349 [ 0.000, 24.527], mean action: 1.465 [0.000, 3.000],  loss: 9.184033, mae: 159.863236, mean_q: 217.352345, mean_eps: 0.890204
 12800/100000: episode: 32, duration: 33.047s, episode steps: 400, steps per second:  12, episode reward: 2398.962, mean reward:  5.997 [ 0.000, 33.325], mean action: 1.567 [0.000, 3.000],  loss: 9.134267, mae: 160.592214, mean_q: 218.570787, mean_eps: 0.886605
 13200/100000: episode: 33, duration: 33.232s, episode steps: 400, steps per second:  12, episode reward: 3743.248, mean reward:  9.358 [ 0.000, 28.044], mean action: 1.442 [0.000, 3.000],  loss: 8.873358, mae: 163.094153, mean_q: 221.832018, mean_eps: 0.883005
 13600/100000: episode: 34, duration: 33.318s, episode steps: 400, steps per second:  12, episode reward: 2451.202, mean reward:  6.128 [ 0.000, 24.850], mean action: 1.498 [0.000, 3.000],  loss: 10.063426, mae: 165.745808, mean_q: 225.491872, mean_eps: 0.879405
 14000/100000: episode: 35, duration: 33.030s, episode steps: 400, steps per second:  12, episode reward: 2796.106, mean reward:  6.990 [ 0.000, 34.097], mean action: 1.577 [0.000, 3.000],  loss: 9.333635, mae: 164.794791, mean_q: 224.021219, mean_eps: 0.875804
 14400/100000: episode: 36, duration: 33.262s, episode steps: 400, steps per second:  12, episode reward: 3137.181, mean reward:  7.843 [ 0.000, 31.451], mean action: 1.587 [0.000, 3.000],  loss: 8.744994, mae: 169.870384, mean_q: 231.077661, mean_eps: 0.872205
 14800/100000: episode: 37, duration: 33.281s, episode steps: 400, steps per second:  12, episode reward: 1661.288, mean reward:  4.153 [ 0.000, 20.376], mean action: 1.597 [0.000, 3.000],  loss: 8.648882, mae: 170.605441, mean_q: 230.865293, mean_eps: 0.868604
 15200/100000: episode: 38, duration: 33.196s, episode steps: 400, steps per second:  12, episode reward: 2210.930, mean reward:  5.527 [ 0.000, 23.286], mean action: 1.560 [0.000, 3.000],  loss: 8.858080, mae: 173.821810, mean_q: 234.713836, mean_eps: 0.865004
 15600/100000: episode: 39, duration: 33.110s, episode steps: 400, steps per second:  12, episode reward: 1853.636, mean reward:  4.634 [ 0.000, 23.910], mean action: 1.580 [0.000, 3.000],  loss: 11.181506, mae: 177.441640, mean_q: 239.335777, mean_eps: 0.861405
 16000/100000: episode: 40, duration: 33.138s, episode steps: 400, steps per second:  12, episode reward: 2139.963, mean reward:  5.350 [ 0.000, 25.168], mean action: 1.673 [0.000, 3.000],  loss: 9.025004, mae: 178.241857, mean_q: 241.316518, mean_eps: 0.857804
 16400/100000: episode: 41, duration: 32.955s, episode steps: 400, steps per second:  12, episode reward: 2201.929, mean reward:  5.505 [ 0.000, 30.489], mean action: 1.605 [0.000, 3.000],  loss: 8.128712, mae: 182.898754, mean_q: 247.065866, mean_eps: 0.854204
 16800/100000: episode: 42, duration: 33.063s, episode steps: 400, steps per second:  12, episode reward: 2700.718, mean reward:  6.752 [ 0.000, 31.119], mean action: 1.433 [0.000, 3.000],  loss: 12.004596, mae: 182.993011, mean_q: 248.514454, mean_eps: 0.850604
 17200/100000: episode: 43, duration: 33.320s, episode steps: 400, steps per second:  12, episode reward: 1689.907, mean reward:  4.225 [ 0.000, 18.832], mean action: 1.580 [0.000, 3.000],  loss: 9.705067, mae: 186.199732, mean_q: 252.233162, mean_eps: 0.847004
 17600/100000: episode: 44, duration: 33.098s, episode steps: 400, steps per second:  12, episode reward: 2808.479, mean reward:  7.021 [ 0.000, 31.306], mean action: 1.510 [0.000, 3.000],  loss: 10.558945, mae: 189.946483, mean_q: 257.148386, mean_eps: 0.843405
 18000/100000: episode: 45, duration: 33.360s, episode steps: 400, steps per second:  12, episode reward: 1515.978, mean reward:  3.790 [ 0.000, 20.920], mean action: 1.532 [0.000, 3.000],  loss: 10.087710, mae: 189.957565, mean_q: 257.198377, mean_eps: 0.839805
 18400/100000: episode: 46, duration: 33.168s, episode steps: 400, steps per second:  12, episode reward: 4214.910, mean reward: 10.537 [ 0.000, 36.685], mean action: 1.387 [0.000, 3.000],  loss: 10.612134, mae: 195.779445, mean_q: 263.351132, mean_eps: 0.836205
 18800/100000: episode: 47, duration: 33.202s, episode steps: 400, steps per second:  12, episode reward: 2771.092, mean reward:  6.928 [ 0.000, 30.573], mean action: 1.445 [0.000, 3.000],  loss: 8.848546, mae: 195.133325, mean_q: 264.224340, mean_eps: 0.832604
 19200/100000: episode: 48, duration: 33.286s, episode steps: 400, steps per second:  12, episode reward: 1947.076, mean reward:  4.868 [ 0.000, 25.921], mean action: 1.455 [0.000, 3.000],  loss: 9.368615, mae: 197.736821, mean_q: 266.837984, mean_eps: 0.829005
 19600/100000: episode: 49, duration: 33.060s, episode steps: 400, steps per second:  12, episode reward: 2319.783, mean reward:  5.799 [ 0.000, 27.944], mean action: 1.400 [0.000, 3.000],  loss: 10.755608, mae: 200.825931, mean_q: 270.761971, mean_eps: 0.825404
 20000/100000: episode: 50, duration: 33.244s, episode steps: 400, steps per second:  12, episode reward: 2219.190, mean reward:  5.548 [ 0.000, 29.641], mean action: 1.482 [0.000, 3.000],  loss: 8.690859, mae: 201.257181, mean_q: 271.613593, mean_eps: 0.821805
 20400/100000: episode: 51, duration: 33.329s, episode steps: 400, steps per second:  12, episode reward: 1609.094, mean reward:  4.023 [ 0.000, 16.858], mean action: 1.595 [0.000, 3.000],  loss: 8.165656, mae: 206.801732, mean_q: 279.030536, mean_eps: 0.818204
 20800/100000: episode: 52, duration: 33.323s, episode steps: 400, steps per second:  12, episode reward: 3766.209, mean reward:  9.416 [ 0.000, 42.435], mean action: 1.525 [0.000, 3.000],  loss: 8.333393, mae: 206.717807, mean_q: 279.210598, mean_eps: 0.814604
 21200/100000: episode: 53, duration: 33.406s, episode steps: 400, steps per second:  12, episode reward: 2359.947, mean reward:  5.900 [ 0.000, 35.009], mean action: 1.577 [0.000, 3.000],  loss: 10.805314, mae: 209.311842, mean_q: 282.454887, mean_eps: 0.811004
 21600/100000: episode: 54, duration: 33.440s, episode steps: 400, steps per second:  12, episode reward: 2802.768, mean reward:  7.007 [ 0.000, 32.466], mean action: 1.567 [0.000, 3.000],  loss: 8.096558, mae: 211.048791, mean_q: 286.108821, mean_eps: 0.807404
 22000/100000: episode: 55, duration: 33.329s, episode steps: 400, steps per second:  12, episode reward: 2365.115, mean reward:  5.913 [ 0.000, 33.587], mean action: 1.508 [0.000, 3.000],  loss: 10.232690, mae: 210.444719, mean_q: 283.329435, mean_eps: 0.803804
 22400/100000: episode: 56, duration: 33.449s, episode steps: 400, steps per second:  12, episode reward: 2212.590, mean reward:  5.531 [ 0.000, 29.345], mean action: 1.532 [0.000, 3.000],  loss: 10.049865, mae: 218.428800, mean_q: 294.419214, mean_eps: 0.800204
 22800/100000: episode: 57, duration: 33.139s, episode steps: 400, steps per second:  12, episode reward: 5047.093, mean reward: 12.618 [ 0.000, 37.022], mean action: 1.442 [0.000, 3.000],  loss: 11.773152, mae: 220.013857, mean_q: 296.227440, mean_eps: 0.796604
 23200/100000: episode: 58, duration: 33.568s, episode steps: 400, steps per second:  12, episode reward: 3576.120, mean reward:  8.940 [ 0.000, 44.276], mean action: 1.535 [0.000, 3.000],  loss: 9.736318, mae: 220.325303, mean_q: 297.306694, mean_eps: 0.793005
 23600/100000: episode: 59, duration: 33.101s, episode steps: 400, steps per second:  12, episode reward: 2771.021, mean reward:  6.928 [ 0.000, 41.518], mean action: 1.522 [0.000, 3.000],  loss: 7.826050, mae: 225.141300, mean_q: 304.261092, mean_eps: 0.789404
 24000/100000: episode: 60, duration: 33.146s, episode steps: 400, steps per second:  12, episode reward: 2749.119, mean reward:  6.873 [ 0.000, 29.487], mean action: 1.562 [0.000, 3.000],  loss: 8.696684, mae: 225.856839, mean_q: 305.269661, mean_eps: 0.785805
 24400/100000: episode: 61, duration: 33.412s, episode steps: 400, steps per second:  12, episode reward: 3048.563, mean reward:  7.621 [ 0.000, 29.063], mean action: 1.468 [0.000, 3.000],  loss: 10.335258, mae: 229.953482, mean_q: 310.170444, mean_eps: 0.782204
 24800/100000: episode: 62, duration: 33.343s, episode steps: 400, steps per second:  12, episode reward: 4128.121, mean reward: 10.320 [ 0.000, 40.002], mean action: 1.500 [0.000, 3.000],  loss: 9.981004, mae: 230.304322, mean_q: 310.670203, mean_eps: 0.778605
 25200/100000: episode: 63, duration: 33.734s, episode steps: 400, steps per second:  12, episode reward: 2651.659, mean reward:  6.629 [ 0.000, 28.669], mean action: 1.458 [0.000, 3.000],  loss: 8.586317, mae: 230.715360, mean_q: 310.039076, mean_eps: 0.775004
 25600/100000: episode: 64, duration: 33.417s, episode steps: 400, steps per second:  12, episode reward: 3003.944, mean reward:  7.510 [ 0.000, 31.897], mean action: 1.590 [0.000, 3.000],  loss: 11.715191, mae: 229.931893, mean_q: 308.662601, mean_eps: 0.771405
 26000/100000: episode: 65, duration: 33.391s, episode steps: 400, steps per second:  12, episode reward: 1970.981, mean reward:  4.927 [ 0.000, 25.540], mean action: 1.607 [0.000, 3.000],  loss: 8.821117, mae: 231.291367, mean_q: 311.828508, mean_eps: 0.767805
 26400/100000: episode: 66, duration: 33.487s, episode steps: 400, steps per second:  12, episode reward: 3785.354, mean reward:  9.463 [ 0.000, 30.831], mean action: 1.558 [0.000, 3.000],  loss: 8.683697, mae: 237.121642, mean_q: 319.466909, mean_eps: 0.764205
 26800/100000: episode: 67, duration: 33.324s, episode steps: 400, steps per second:  12, episode reward: 2147.162, mean reward:  5.368 [ 0.000, 22.917], mean action: 1.595 [0.000, 3.000],  loss: 9.349097, mae: 236.032380, mean_q: 318.057208, mean_eps: 0.760605
 27200/100000: episode: 68, duration: 33.404s, episode steps: 400, steps per second:  12, episode reward: 2886.738, mean reward:  7.217 [ 0.000, 26.910], mean action: 1.550 [0.000, 3.000],  loss: 10.837138, mae: 237.919828, mean_q: 320.962782, mean_eps: 0.757004
 27600/100000: episode: 69, duration: 33.329s, episode steps: 400, steps per second:  12, episode reward: 5000.306, mean reward: 12.501 [ 0.000, 67.921], mean action: 1.327 [0.000, 3.000],  loss: 8.375032, mae: 239.635271, mean_q: 322.829945, mean_eps: 0.753405
 28000/100000: episode: 70, duration: 33.218s, episode steps: 400, steps per second:  12, episode reward: 3475.920, mean reward:  8.690 [ 0.000, 43.931], mean action: 1.488 [0.000, 3.000],  loss: 8.821926, mae: 239.965394, mean_q: 322.923999, mean_eps: 0.749804
 28400/100000: episode: 71, duration: 33.204s, episode steps: 400, steps per second:  12, episode reward: 3128.592, mean reward:  7.821 [ 0.000, 37.332], mean action: 1.512 [0.000, 3.000],  loss: 8.981706, mae: 243.087314, mean_q: 327.051032, mean_eps: 0.746205
 28800/100000: episode: 72, duration: 33.320s, episode steps: 400, steps per second:  12, episode reward: 3007.410, mean reward:  7.519 [ 0.000, 44.041], mean action: 1.802 [0.000, 3.000],  loss: 9.306456, mae: 245.435369, mean_q: 330.878008, mean_eps: 0.742604
 29200/100000: episode: 73, duration: 33.548s, episode steps: 400, steps per second:  12, episode reward: 2452.605, mean reward:  6.132 [ 0.000, 26.195], mean action: 1.520 [0.000, 3.000],  loss: 10.360539, mae: 246.296958, mean_q: 331.347516, mean_eps: 0.739005
 29600/100000: episode: 74, duration: 33.654s, episode steps: 400, steps per second:  12, episode reward: 1874.053, mean reward:  4.685 [ 0.000, 25.961], mean action: 1.595 [0.000, 3.000],  loss: 10.991996, mae: 248.757304, mean_q: 334.865186, mean_eps: 0.735404
 30000/100000: episode: 75, duration: 33.439s, episode steps: 400, steps per second:  12, episode reward: 2397.705, mean reward:  5.994 [ 0.000, 24.814], mean action: 1.552 [0.000, 3.000],  loss: 8.635754, mae: 248.300017, mean_q: 334.646196, mean_eps: 0.731805
 30400/100000: episode: 76, duration: 33.405s, episode steps: 400, steps per second:  12, episode reward: 3214.452, mean reward:  8.036 [ 0.000, 37.436], mean action: 1.520 [0.000, 3.000],  loss: 10.619405, mae: 253.362860, mean_q: 338.996640, mean_eps: 0.728204
 30800/100000: episode: 77, duration: 33.356s, episode steps: 400, steps per second:  12, episode reward: 2944.653, mean reward:  7.362 [ 0.000, 39.827], mean action: 1.540 [0.000, 3.000],  loss: 9.075930, mae: 253.358151, mean_q: 340.934043, mean_eps: 0.724605
 31200/100000: episode: 78, duration: 33.402s, episode steps: 400, steps per second:  12, episode reward: 3953.299, mean reward:  9.883 [ 0.000, 55.696], mean action: 1.560 [0.000, 3.000],  loss: 8.791047, mae: 256.469930, mean_q: 345.083067, mean_eps: 0.721004
 31600/100000: episode: 79, duration: 33.414s, episode steps: 400, steps per second:  12, episode reward: 4016.164, mean reward: 10.040 [ 0.000, 43.679], mean action: 1.630 [0.000, 3.000],  loss: 10.037943, mae: 259.342503, mean_q: 347.818527, mean_eps: 0.717405
 32000/100000: episode: 80, duration: 33.117s, episode steps: 400, steps per second:  12, episode reward: 4287.026, mean reward: 10.718 [ 0.000, 54.048], mean action: 1.600 [0.000, 3.000],  loss: 9.873108, mae: 260.211124, mean_q: 349.928456, mean_eps: 0.713804
 32400/100000: episode: 81, duration: 33.379s, episode steps: 400, steps per second:  12, episode reward: 2552.020, mean reward:  6.380 [ 0.000, 32.405], mean action: 1.692 [0.000, 3.000],  loss: 9.352043, mae: 263.504342, mean_q: 354.649603, mean_eps: 0.710205
 32800/100000: episode: 82, duration: 32.999s, episode steps: 400, steps per second:  12, episode reward: 7169.075, mean reward: 17.923 [ 0.000, 59.205], mean action: 1.460 [0.000, 3.000],  loss: 8.559668, mae: 263.568671, mean_q: 353.997200, mean_eps: 0.706604
 33200/100000: episode: 83, duration: 33.431s, episode steps: 400, steps per second:  12, episode reward: 5652.559, mean reward: 14.131 [ 0.000, 51.163], mean action: 1.308 [0.000, 3.000],  loss: 8.816767, mae: 266.055533, mean_q: 357.465067, mean_eps: 0.703005
 33600/100000: episode: 84, duration: 33.643s, episode steps: 400, steps per second:  12, episode reward: 2909.301, mean reward:  7.273 [ 0.000, 43.361], mean action: 1.357 [0.000, 3.000],  loss: 8.871235, mae: 266.481786, mean_q: 358.048370, mean_eps: 0.699404
 34000/100000: episode: 85, duration: 33.341s, episode steps: 400, steps per second:  12, episode reward: 3120.996, mean reward:  7.802 [ 0.000, 36.512], mean action: 1.625 [0.000, 3.000],  loss: 10.250192, mae: 266.699981, mean_q: 358.410857, mean_eps: 0.695804
 34400/100000: episode: 86, duration: 33.265s, episode steps: 400, steps per second:  12, episode reward: 5521.137, mean reward: 13.803 [ 0.000, 41.762], mean action: 1.415 [0.000, 3.000],  loss: 10.933522, mae: 269.658018, mean_q: 362.151557, mean_eps: 0.692205
 34800/100000: episode: 87, duration: 33.468s, episode steps: 400, steps per second:  12, episode reward: 2727.303, mean reward:  6.818 [ 0.000, 25.152], mean action: 1.445 [0.000, 3.000],  loss: 8.765546, mae: 270.755943, mean_q: 363.887793, mean_eps: 0.688604
 35200/100000: episode: 88, duration: 32.721s, episode steps: 400, steps per second:  12, episode reward: 6542.759, mean reward: 16.357 [ 0.000, 45.495], mean action: 1.180 [0.000, 3.000],  loss: 8.976474, mae: 270.861824, mean_q: 363.736989, mean_eps: 0.685005
 35600/100000: episode: 89, duration: 33.589s, episode steps: 400, steps per second:  12, episode reward: 1682.815, mean reward:  4.207 [ 0.000, 21.455], mean action: 1.705 [0.000, 3.000],  loss: 11.434491, mae: 273.286432, mean_q: 367.404335, mean_eps: 0.681404
 36000/100000: episode: 90, duration: 33.113s, episode steps: 400, steps per second:  12, episode reward: 3633.764, mean reward:  9.084 [ 0.000, 32.478], mean action: 1.625 [0.000, 3.000],  loss: 10.139497, mae: 275.605215, mean_q: 370.870740, mean_eps: 0.677805
 36400/100000: episode: 91, duration: 32.947s, episode steps: 400, steps per second:  12, episode reward: 4213.965, mean reward: 10.535 [ 0.000, 48.087], mean action: 1.423 [0.000, 3.000],  loss: 10.614223, mae: 280.805493, mean_q: 376.364032, mean_eps: 0.674204
 36800/100000: episode: 92, duration: 33.491s, episode steps: 400, steps per second:  12, episode reward: 4691.330, mean reward: 11.728 [ 0.000, 47.914], mean action: 1.545 [0.000, 3.000],  loss: 11.608240, mae: 283.305564, mean_q: 379.760492, mean_eps: 0.670605
 37200/100000: episode: 93, duration: 33.242s, episode steps: 400, steps per second:  12, episode reward: 4924.314, mean reward: 12.311 [ 0.000, 75.817], mean action: 1.532 [0.000, 3.000],  loss: 12.223863, mae: 285.625672, mean_q: 383.481102, mean_eps: 0.667004
 37600/100000: episode: 94, duration: 33.224s, episode steps: 400, steps per second:  12, episode reward: 1805.090, mean reward:  4.513 [ 0.000, 24.167], mean action: 1.562 [0.000, 3.000],  loss: 11.238788, mae: 288.560296, mean_q: 387.122589, mean_eps: 0.663405
 38000/100000: episode: 95, duration: 33.197s, episode steps: 400, steps per second:  12, episode reward: 2343.239, mean reward:  5.858 [ 0.000, 25.247], mean action: 1.460 [0.000, 3.000],  loss: 11.231331, mae: 288.003337, mean_q: 386.696340, mean_eps: 0.659804
 38400/100000: episode: 96, duration: 33.399s, episode steps: 400, steps per second:  12, episode reward: 2512.173, mean reward:  6.280 [ 0.000, 27.335], mean action: 1.515 [0.000, 3.000],  loss: 10.989482, mae: 292.493448, mean_q: 392.231269, mean_eps: 0.656205
 38800/100000: episode: 97, duration: 33.656s, episode steps: 400, steps per second:  12, episode reward: 2857.142, mean reward:  7.143 [ 0.000, 27.120], mean action: 1.552 [0.000, 3.000],  loss: 9.755356, mae: 293.380647, mean_q: 393.725551, mean_eps: 0.652604
 39200/100000: episode: 98, duration: 33.277s, episode steps: 400, steps per second:  12, episode reward: 3425.591, mean reward:  8.564 [ 0.000, 43.452], mean action: 1.445 [0.000, 3.000],  loss: 12.682854, mae: 292.754799, mean_q: 391.492904, mean_eps: 0.649005
 39600/100000: episode: 99, duration: 33.579s, episode steps: 400, steps per second:  12, episode reward: 3864.107, mean reward:  9.660 [ 0.000, 77.713], mean action: 1.528 [0.000, 3.000],  loss: 12.589670, mae: 297.669528, mean_q: 398.093398, mean_eps: 0.645404
 40000/100000: episode: 100, duration: 32.914s, episode steps: 400, steps per second:  12, episode reward: 9241.429, mean reward: 23.104 [ 0.000, 69.588], mean action: 1.095 [0.000, 3.000],  loss: 7.875246, mae: 295.902946, mean_q: 397.437861, mean_eps: 0.641805
 40400/100000: episode: 101, duration: 33.255s, episode steps: 400, steps per second:  12, episode reward: 7918.781, mean reward: 19.797 [ 0.000, 52.022], mean action: 1.387 [0.000, 3.000],  loss: 9.031803, mae: 301.806438, mean_q: 404.335335, mean_eps: 0.638205
 40800/100000: episode: 102, duration: 32.916s, episode steps: 400, steps per second:  12, episode reward: 3843.601, mean reward:  9.609 [ 0.000, 59.430], mean action: 1.235 [0.000, 3.000],  loss: 10.548713, mae: 301.933492, mean_q: 404.872609, mean_eps: 0.634604
 41200/100000: episode: 103, duration: 33.896s, episode steps: 400, steps per second:  12, episode reward: 4580.009, mean reward: 11.450 [ 0.000, 38.528], mean action: 1.220 [0.000, 3.000],  loss: 9.357488, mae: 303.226209, mean_q: 406.575154, mean_eps: 0.631004
 41600/100000: episode: 104, duration: 33.062s, episode steps: 400, steps per second:  12, episode reward: 1527.911, mean reward:  3.820 [ 0.000, 17.566], mean action: 1.558 [0.000, 3.000],  loss: 9.681143, mae: 305.108640, mean_q: 409.319533, mean_eps: 0.627404
 42000/100000: episode: 105, duration: 33.460s, episode steps: 400, steps per second:  12, episode reward: 3272.519, mean reward:  8.181 [ 0.000, 37.245], mean action: 1.555 [0.000, 3.000],  loss: 10.593146, mae: 306.257271, mean_q: 411.679786, mean_eps: 0.623804
 42400/100000: episode: 106, duration: 32.896s, episode steps: 400, steps per second:  12, episode reward: 4045.307, mean reward: 10.113 [ 0.000, 52.400], mean action: 1.542 [0.000, 3.000],  loss: 10.832457, mae: 309.450716, mean_q: 415.670975, mean_eps: 0.620204
